entry_id,f1_lmin,f2_lmin,label,p1_spu,p2_spu,timestamp
2026-05-05_17-36-49,2.67,2.53,0,2.46,0.19,2026-05-05 17:36:49
2026-05-05_17-36-51,2.8,2.53,0,1.64,0.17,2026-05-05 17:36:51
2026-05-05_17-36-53,2.67,2.67,0,0.79,-1.17,2026-05-05 17:36:53
2026-05-05_17-36-55,2.8,2.67,0,1.41,-0.28,2026-05-05 17:36:55
2026-05-05_17-36-57,2.8,2.67,0,2.21,0.39,2026-05-05 17:36:57
2026-05-05_17-36-59,2.67,2.67,0,2.04,-0.06,2026-05-05 17:36:59
2026-05-05_17-37-01,2.67,2.67,0,2.05,0.02,2026-05-05 17:37:01
2026-05-05_17-37-03,2.67,2.67,0,1.91,-0.46,2026-05-05 17:37:03
2026-05-05_17-37-05,2.67,2.67,0,1.19,-0.51,2026-05-05 17:37:05
2026-05-05_17-37-07,2.67,2.67,0,2.17,0.27,2026-05-05 17:37:07
2026-05-05_17-37-09,2.8,2.67,0,1.61,0.01,2026-05-05 17:37:09
2026-05-05_17-37-11,2.67,2.53,1,2.06,0.26,2026-05-05 17:37:11
2026-05-05_17-37-13,2.67,2.53,1,2.55,0.13,2026-05-05 17:37:13
2026-05-05_17-37-15,2.8,2.53,1,0.82,-1.17,2026-05-05 17:37:15
2026-05-05_17-37-17,2.8,2.53,1,2.62,0.29,2026-05-05 17:37:17
2026-05-05_17-37-19,2.8,2.53,1,2.63,0.46,2026-05-05 17:37:19
2026-05-05_17-37-21,2.8,2.53,1,2.21,0.23,2026-05-05 17:37:21
2026-05-05_17-37-23,2.8,2.53,1,2.69,0.01,2026-05-05 17:37:23
2026-05-05_17-37-25,2.8,2.53,1,2.07,-0.17,2026-05-05 17:37:25
2026-05-05_17-37-27,2.8,2.53,1,0.76,-0.87,2026-05-05 17:37:27
2026-05-05_17-37-29,2.8,2.53,1,1.85,-0.25,2026-05-05 17:37:29
2026-05-05_17-37-31,2.8,2.53,1,2.23,0.09,2026-05-05 17:37:31
2026-05-05_17-37-33,2.8,2.53,1,2.21,0.41,2026-05-05 17:37:33
2026-05-05_17-37-35,2.8,2.53,1,2.02,-0.32,2026-05-05 17:37:35
2026-05-05_17-37-37,2.8,2.53,1,2.2,-0.47,2026-05-05 17:37:37
2026-05-05_17-37-39,2.8,2.53,1,1.77,0.14,2026-05-05 17:37:39
2026-05-05_17-37-41,2.8,2.53,1,0.81,-1.17,2026-05-05 17:37:41
2026-05-05_17-37-43,2.8,2.53,1,2.32,0.12,2026-05-05 17:37:43
2026-05-05_17-37-45,2.8,2.53,1,1.82,0.0,2026-05-05 17:37:45
2026-05-05_17-37-47,2.67,2.53,1,2.3,-0.53,2026-05-05 17:37:47
2026-05-05_17-37-49,2.8,2.53,1,0.34,-1.21,2026-05-05 17:37:49
2026-05-05_17-37-51,2.8,2.53,1,1.58,-0.63,2026-05-05 17:37:51
2026-05-05_17-37-53,2.8,2.53,1,0.44,-1.92,2026-05-05 17:37:53
2026-05-05_17-37-55,2.8,2.4,1,0.73,-1.5,2026-05-05 17:37:55
2026-05-05_17-37-57,2.8,2.53,1,0.54,-1.27,2026-05-05 17:37:57
2026-05-05_17-37-59,2.8,2.53,1,0.73,-0.39,2026-05-05 17:37:59
