entry_id,f1_lmin,f2_lmin,label,p1_spu,p2_spu,timestamp
2026-05-05_17-32-07,2.67,2.67,0.0,0.73,-0.84,
2026-05-05_17-32-09,2.67,2.53,0.0,0.93,-0.72,2026-05-05 17:32:09
2026-05-05_17-32-11,2.8,2.53,0.0,2.31,0.08,2026-05-05 17:32:11
2026-05-05_17-32-13,2.67,2.67,0.0,2.46,0.43,2026-05-05 17:32:13
2026-05-05_17-32-15,2.67,2.67,0.0,0.96,-0.59,2026-05-05 17:32:15
2026-05-05_17-32-17,2.67,2.67,0.0,2.4,0.67,2026-05-05 17:32:17
2026-05-05_17-32-19,2.8,2.67,0.0,0.43,-1.63,2026-05-05 17:32:19
2026-05-05_17-32-21,2.8,2.67,0.0,2.09,0.17,2026-05-05 17:32:21
2026-05-05_17-32-23,2.67,2.53,0.0,2.09,0.07,2026-05-05 17:32:23
2026-05-05_17-32-25,2.67,2.67,1.0,2.31,0.66,2026-05-05 17:32:25
2026-05-05_17-32-27,2.93,2.27,1.0,0.72,-0.88,2026-05-05 17:32:27
2026-05-05_17-32-29,2.93,2.27,1.0,0.6,-1.1,2026-05-05 17:32:29
2026-05-05_17-32-31,2.93,2.27,1.0,0.53,-0.99,2026-05-05 17:32:31
2026-05-05_17-32-33,2.93,2.27,1.0,1.74,-0.29,2026-05-05 17:32:33
2026-05-05_17-32-35,2.93,2.27,1.0,0.69,-1.22,2026-05-05 17:32:35
2026-05-05_17-32-37,2.93,2.4,1.0,1.04,-1.01,2026-05-05 17:32:37
2026-05-05_17-32-39,2.93,2.4,1.0,0.25,-1.41,2026-05-05 17:32:39
2026-05-05_17-32-41,3.07,2.4,1.0,0.54,-1.2,2026-05-05 17:32:41
2026-05-05_17-32-43,2.93,2.27,1.0,0.85,-1.14,2026-05-05 17:32:43
2026-05-05_17-32-45,2.93,2.27,1.0,0.71,-1.35,2026-05-05 17:32:45
2026-05-05_17-32-47,2.93,2.27,1.0,1.04,-1.21,2026-05-05 17:32:47
2026-05-05_17-32-49,2.93,2.4,1.0,0.64,-1.14,2026-05-05 17:32:49
2026-05-05_17-32-51,2.93,2.27,1.0,1.62,-0.46,2026-05-05 17:32:51
2026-05-05_17-32-53,2.93,2.27,1.0,1.82,0.1,2026-05-05 17:32:53
2026-05-05_17-32-55,2.93,2.27,1.0,2.57,0.19,2026-05-05 17:32:55
2026-05-05_17-32-57,2.93,2.27,1.0,2.15,0.2,2026-05-05 17:32:57
2026-05-05_17-32-59,,,,1.87,,2026-05-05 17:32:59
