entry_id,f1_lmin,f2_lmin,label,p1_spu,p2_spu,timestamp
2026-05-05_17-33-31,2.67,2.67,0.0,0.9,-0.79,2026-05-05 17:33:31
2026-05-05_17-33-33,2.67,2.67,0.0,2.64,0.42,2026-05-05 17:33:33
2026-05-05_17-33-35,2.67,2.67,0.0,2.41,0.39,2026-05-05 17:33:35
2026-05-05_17-33-37,2.67,2.67,0.0,2.64,0.56,2026-05-05 17:33:37
2026-05-05_17-33-39,2.67,2.67,0.0,2.44,0.25,2026-05-05 17:33:39
2026-05-05_17-33-41,2.67,2.67,0.0,0.43,-1.58,2026-05-05 17:33:41
2026-05-05_17-33-43,2.67,2.67,0.0,1.9,-0.01,2026-05-05 17:33:43
2026-05-05_17-33-45,2.8,2.67,0.0,2.02,-0.33,2026-05-05 17:33:45
2026-05-05_17-33-47,2.67,2.67,0.0,0.98,-1.02,2026-05-05 17:33:47
2026-05-05_17-33-49,2.67,2.53,0.0,0.29,-1.83,2026-05-05 17:33:49
2026-05-05_17-33-51,2.8,2.67,0.0,0.29,-0.99,2026-05-05 17:33:51
2026-05-05_17-33-53,2.8,2.53,0.0,0.49,-1.81,2026-05-05 17:33:53
2026-05-05_17-33-55,2.67,2.67,0.0,0.96,-1.57,2026-05-05 17:33:55
2026-05-05_17-33-57,2.67,2.67,0.0,0.93,-0.71,2026-05-05 17:33:57
2026-05-05_17-33-59,2.67,2.67,0.0,0.68,-1.25,2026-05-05 17:33:59
2026-05-05_17-34-01,2.8,2.67,0.0,0.96,-0.46,2026-05-05 17:34:01
2026-05-05_17-34-03,2.67,2.53,0.0,0.4,-1.22,2026-05-05 17:34:03
2026-05-05_17-34-05,2.67,2.67,1.0,1.22,-0.58,2026-05-05 17:34:05
2026-05-05_17-34-07,2.93,2.27,1.0,1.75,0.39,2026-05-05 17:34:07
2026-05-05_17-34-09,2.93,2.27,1.0,1.87,0.46,2026-05-05 17:34:09
2026-05-05_17-34-11,3.07,2.27,1.0,0.53,-1.39,2026-05-05 17:34:11
2026-05-05_17-34-13,2.93,2.27,1.0,1.65,0.15,2026-05-05 17:34:13
2026-05-05_17-34-15,2.93,2.27,1.0,0.48,-1.3,2026-05-05 17:34:15
2026-05-05_17-34-17,3.07,2.27,1.0,1.86,-0.6,2026-05-05 17:34:17
2026-05-05_17-34-19,2.93,2.27,1.0,0.2,-1.87,2026-05-05 17:34:19
2026-05-05_17-34-21,2.93,2.27,1.0,0.7,-0.54,2026-05-05 17:34:21
2026-05-05_17-34-23,2.93,2.27,1.0,0.47,-1.73,2026-05-05 17:34:23
2026-05-05_17-34-25,2.93,2.27,1.0,0.98,-0.93,2026-05-05 17:34:25
2026-05-05_17-34-27,2.93,2.27,1.0,0.56,-1.01,2026-05-05 17:34:27
2026-05-05_17-34-29,2.93,2.27,1.0,0.32,-1.4,2026-05-05 17:34:29
2026-05-05_17-34-31,3.07,2.27,1.0,0.64,-0.63,2026-05-05 17:34:31
2026-05-05_17-34-33,2.93,2.27,1.0,1.94,0.19,2026-05-05 17:34:33
2026-05-05_17-34-35,2.93,2.27,1.0,1.58,0.19,2026-05-05 17:34:35
2026-05-05_17-34-37,3.07,2.13,1.0,0.57,-1.4,2026-05-05 17:34:37
2026-05-05_17-34-39,2.93,2.27,1.0,0.42,-1.13,2026-05-05 17:34:39
2026-05-05_17-34-41,3.07,2.27,1.0,1.94,0.36,2026-05-05 17:34:41
2026-05-05_17-34-43,2.93,2.27,1.0,2.03,-0.03,2026-05-05 17:34:43
2026-05-05_17-34-45,2.93,2.27,1.0,0.19,-1.56,2026-05-05 17:34:45
2026-05-05_17-34-47,2.93,2.27,1.0,1.19,-0.72,2026-05-05 17:34:47
2026-05-05_17-34-49,3.07,2.27,1.0,0.32,-0.94,2026-05-05 17:34:49
2026-05-05_17-34-51,2.93,2.27,1.0,1.3,-0.87,2026-05-05 17:34:51
2026-05-05_17-34-53,2.93,2.27,1.0,0.39,-1.45,2026-05-05 17:34:53
2026-05-05_17-34-55,2.93,2.27,1.0,1.38,-0.32,2026-05-05 17:34:55
2026-05-05_17-34-57,2.67,2.67,0.0,2.67,-0.44,2026-05-05 17:34:57
2026-05-05_17-34-59,2.8,2.67,0.0,0.37,-1.63,2026-05-05 17:34:59
2026-05-05_17-35-01,2.8,2.67,0.0,0.35,-1.4,2026-05-05 17:35:01
2026-05-05_17-35-03,2.67,2.67,0.0,0.87,-0.97,2026-05-05 17:35:03
2026-05-05_17-35-05,2.67,2.53,0.0,2.21,0.06,2026-05-05 17:35:05
2026-05-05_17-35-07,2.67,2.67,0.0,2.76,0.63,2026-05-05 17:35:07
2026-05-05_17-35-09,,,,,,2026-05-05 17:35:09
