entry_id,f1_lmin,f2_lmin,label,p1_spu,p2_spu,timestamp
2026-05-05_17-35-21,2.67,2.67,0.0,1.83,-0.19,2026-05-05 17:35:21
2026-05-05_17-35-23,2.67,2.67,0.0,2.71,0.24,2026-05-05 17:35:23
2026-05-05_17-35-25,2.8,2.53,0.0,1.28,-1.01,2026-05-05 17:35:25
2026-05-05_17-35-27,2.67,2.67,0.0,0.51,-1.36,2026-05-05 17:35:27
2026-05-05_17-35-29,2.8,2.53,0.0,2.3,-0.22,2026-05-05 17:35:29
2026-05-05_17-35-31,2.67,2.53,0.0,2.74,0.22,2026-05-05 17:35:31
2026-05-05_17-35-33,2.67,2.67,0.0,2.43,0.52,2026-05-05 17:35:33
2026-05-05_17-35-35,2.67,2.53,0.0,1.08,-0.56,2026-05-05 17:35:35
2026-05-05_17-35-37,2.8,2.67,0.0,0.69,-1.22,2026-05-05 17:35:37
2026-05-05_17-35-39,2.67,2.53,1.0,1.69,-0.33,2026-05-05 17:35:39
2026-05-05_17-35-41,2.67,2.53,1.0,2.37,-0.07,2026-05-05 17:35:41
2026-05-05_17-35-43,2.8,2.53,1.0,2.07,0.25,2026-05-05 17:35:43
2026-05-05_17-35-45,2.8,2.53,1.0,1.99,0.03,2026-05-05 17:35:45
2026-05-05_17-35-47,2.8,2.53,1.0,1.76,-0.07,2026-05-05 17:35:47
2026-05-05_17-35-49,2.8,2.53,1.0,2.08,-0.17,2026-05-05 17:35:49
2026-05-05_17-35-51,2.8,2.53,1.0,1.98,0.26,2026-05-05 17:35:51
2026-05-05_17-35-53,2.93,2.4,1.0,0.62,-0.91,2026-05-05 17:35:53
2026-05-05_17-35-55,2.93,2.4,1.0,1.99,-0.06,2026-05-05 17:35:55
2026-05-05_17-35-57,3.07,2.4,1.0,1.98,-0.17,2026-05-05 17:35:57
2026-05-05_17-35-59,2.93,2.4,1.0,0.95,-1.62,2026-05-05 17:35:59
2026-05-05_17-36-01,2.93,2.27,1.0,1.96,0.1,2026-05-05 17:36:01
2026-05-05_17-36-03,3.07,2.27,1.0,0.09,-1.47,2026-05-05 17:36:03
2026-05-05_17-36-05,2.93,2.4,1.0,1.76,0.01,2026-05-05 17:36:05
2026-05-05_17-36-07,2.93,2.4,1.0,1.85,0.32,2026-05-05 17:36:07
2026-05-05_17-36-09,2.93,2.4,1.0,1.95,0.46,2026-05-05 17:36:09
2026-05-05_17-36-11,3.07,2.4,1.0,0.43,-1.27,2026-05-05 17:36:11
2026-05-05_17-36-13,2.93,2.27,1.0,2.32,0.19,2026-05-05 17:36:13
2026-05-05_17-36-15,2.93,2.27,1.0,1.89,0.47,2026-05-05 17:36:15
2026-05-05_17-36-17,2.8,2.67,0.0,2.29,0.19,2026-05-05 17:36:17
2026-05-05_17-36-19,2.67,2.53,0.0,2.26,0.07,2026-05-05 17:36:19
2026-05-05_17-36-21,2.67,2.67,0.0,1.77,-0.04,2026-05-05 17:36:21
2026-05-05_17-36-23,2.8,2.53,0.0,2.35,0.43,2026-05-05 17:36:23
2026-05-05_17-36-25,2.8,2.67,0.0,1.24,-0.03,2026-05-05 17:36:25
2026-05-05_17-36-27,2.8,2.67,0.0,2.0,0.1,2026-05-05 17:36:27
2026-05-05_17-36-29,2.67,2.67,0.0,0.58,-0.7,2026-05-05 17:36:29
2026-05-05_17-36-31,2.67,2.67,,1.74,-0.9,2026-05-05 17:36:31
