0,3.82,2.80,2.75,-1.294,0
1,1.62,2.89,2.71,-1.603,0
2,3.48,2.72,2.73,-4.635,0
3,3.60,2.85,2.74,-2.938,0
4,3.74,2.83,2.76,-1.557,0
5,2.95,2.77,2.89,-1.318,0
6,1.25,2.61,2.54,-1.586,0
7,2.77,2.77,2.80,-1.548,0
8,1.15,2.88,2.85,-1.379,0
9,3.98,2.76,2.72,-3.266,0
10,1.82,2.90,2.82,0.399,0
11,1.67,2.79,2.58,-0.749,0
12,1.19,2.83,2.58,-0.776,0
13,1.40,2.80,2.66,-0.489,0
14,0.95,2.69,2.87,-0.073,0
15,3.06,2.69,2.92,-0.247,0
16,3.04,3.03,2.89,1.233,0
17,0.78,2.92,3.01,-1.936,0
18,5.40,2.73,2.55,-0.512,0
19,3.51,2.82,2.74,0.381,0
20,5.29,2.95,2.82,-3.631,0
21,1.92,2.94,2.83,-0.611,0
22,0.86,2.76,2.82,-1.728,0
23,0.51,3.09,2.86,-0.357,0
24,1.18,2.78,2.76,0.048,0
25,2.70,2.73,2.73,1.238,0
26,0.95,2.97,2.70,-1.858,0
27,-1.21,2.74,2.66,-2.261,0
28,1.50,2.89,2.77,0.957,0
29,3.24,2.69,2.88,-1.796,0
30,1.90,2.88,2.78,1.783,0
31,2.89,2.69,2.65,1.666,0
32,1.81,2.61,2.67,1.004,0
33,1.10,2.98,2.90,-2.094,0
34,0.84,2.60,2.71,-5.792,0
35,0.07,2.85,2.75,-0.911,0
36,1.49,2.99,2.86,0.380,0
37,3.79,2.80,2.89,-0.970,0
38,3.38,2.74,2.66,-0.603,0
39,1.66,2.96,2.89,-3.653,0
40,2.23,2.83,2.61,1.135,0
41,3.02,2.67,2.53,2.034,0
42,4.29,2.69,2.64,-0.933,0
43,4.79,2.96,2.89,1.182,0
44,2.85,2.95,2.75,0.378,0
45,0.21,2.70,2.92,-0.046,0
46,1.82,2.84,2.61,-2.062,0
47,0.97,2.87,2.65,-1.518,0
48,3.53,2.61,2.71,-1.153,0
49,1.75,2.83,2.68,-1.449,0
50,4.81,2.82,2.95,-0.857,0
51,0.13,2.76,2.62,-1.297,0
52,3.64,2.89,2.74,-0.042,0
53,2.22,3.00,2.76,-1.463,0
54,4.74,2.87,2.76,-2.201,0
55,1.18,2.99,2.67,-1.286,0
56,1.81,2.88,2.80,-0.552,0
57,3.14,2.88,2.67,0.781,0
58,5.21,2.87,2.79,-2.807,0
59,4.29,2.58,2.71,-1.807,0
60,1.10,2.84,2.93,0.752,0
61,4.36,2.87,2.73,-0.409,0
62,2.94,2.80,2.78,-2.769,0
63,4.28,3.03,2.94,1.123,0
64,2.01,2.65,2.84,0.368,0
65,1.98,2.96,2.86,2.065,0
66,2.90,2.97,2.68,-0.903,0
67,1.34,2.80,2.57,-4.743,0
68,2.03,2.76,2.65,-0.339,0
69,-0.25,2.94,2.75,-0.358,0
70,2.27,2.73,2.64,-1.123,0
71,1.06,2.78,2.79,-1.040,0
72,4.18,2.77,2.69,-2.294,0
73,3.33,2.78,2.66,0.642,0
74,1.48,2.96,2.98,0.759,0
75,4.01,2.75,2.68,0.182,0
76,1.63,2.66,2.62,1.586,0
77,2.34,2.74,2.67,-1.199,0
78,-0.35,2.78,2.59,0.712,0
79,0.54,2.68,2.60,1.405,0
80,4.80,2.99,2.77,-1.697,0
81,1.12,2.46,2.82,-4.179,0
82,2.11,2.81,2.61,-1.956,0
83,2.54,2.75,2.58,-3.199,0
84,3.64,2.81,2.71,0.140,0
85,2.13,2.99,2.90,-1.787,0
86,3.82,2.92,2.67,0.783,0
87,1.47,2.66,2.75,-0.518,0
88,4.35,2.80,2.76,-0.995,0
89,2.49,2.90,2.79,-1.224,0
90,0.81,2.79,2.76,0.960,0
91,1.73,2.92,2.71,-1.313,0
92,-0.45,2.86,2.74,-0.083,0
93,2.00,2.56,2.61,-0.488,0
94,0.76,2.64,2.69,-1.014,0
95,2.97,2.76,2.89,0.081,0
96,1.55,2.75,2.86,-0.265,0
97,4.10,2.71,2.65,-1.240,0
98,4.34,2.82,2.73,1.575,0
99,2.07,2.85,2.78,0.589,0
100,-0.14,3.47,2.24,-7.264,1
101,-1.29,3.34,2.22,-3.513,1
102,-1.41,3.40,2.16,-6.076,1
103,0.19,3.45,2.17,-2.723,1
104,-3.14,3.38,2.22,-4.567,1
105,1.97,3.42,2.20,-3.858,1
106,-0.14,3.40,2.01,-1.721,1
107,0.90,3.42,2.18,-6.166,1
108,-1.97,3.30,2.20,-7.176,1
109,-0.08,3.37,2.22,-4.840,1
110,0.65,3.51,2.08,-3.499,1
111,-1.53,3.19,2.16,-6.101,1
